CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,325,2,2.08,1
12347.0,1,182,481.21,0
12348.0,74,31,178.71,0
12349.0,18,73,605.1,0
12350.0,309,17,65.3,1
12352.0,35,95,2211.1,0
12353.0,203,4,24.299999999999997,1
12354.0,231,58,261.22,1
12355.0,213,13,54.65,1
12356.0,22,59,188.87,0
12357.0,32,131,438.67,0
12358.0,1,19,157.21,0
12359.0,7,254,2225.11,4
12360.0,51,129,457.90999999999997,0
12361.0,286,10,33.35,1
12362.0,2,274,1083.29,4
12363.0,109,23,53.17,0
12364.0,7,85,162.37,0
12365.0,290,23,698.0,1
12367.0,3,11,35.2,0
12370.0,50,167,467.65,0
12371.0,44,63,244.08,0
12372.0,71,52,156.07,0
12373.0,310,14,64.15,1
12374.0,24,33,139.25,0
12375.0,2,18,119.60000000000001,0
12377.0,314,77,209.35,1
12378.0,129,219,656.44,0
12379.0,81,41,116.6,0
12380.0,21,105,355.63,0
12381.0,4,91,417.04,0
12383.0,184,100,309.36,1
12384.0,28,30,227.27,0
12386.0,337,10,23.91,1
12388.0,15,100,277.77,0
12390.0,79,32,127.9,0
12391.0,21,100,245.99,0
12393.0,71,64,145.9,0
12394.0,63,27,91.00999999999999,0
12395.0,15,159,629.59,0
12397.0,35,126,437.0,0
12398.0,45,85,169.38,0
12399.0,118,59,124.75999999999999,0
12401.0,302,5,48.4,1
12402.0,322,11,36.2,1
12403.0,49,6,53.400000000000006,0
12405.0,148,54,191.39000000000001,1
12406.0,21,108,305.99,0
12407.0,49,77,251.59,0
12408.0,32,113,353.48,0
12409.0,78,114,402.04,0
12410.0,300,28,176.97,1
12412.0,74,61,165.54,0
12413.0,66,40,210.29,0
12414.0,216,18,154.26,1
12415.0,23,778,2499.82,4
12417.0,2,198,1074.23,0
12418.0,112,34,121.19,0
12420.0,63,29,136.51,0
12421.0,15,46,204.18,0
12422.0,95,39,127.15,0
12423.0,0,126,365.05,0
12424.0,162,30,83.42,1
12425.0,77,36,92.32,0
12426.0,194,30,118.09,1
12427.0,11,35,161.17,0
12428.0,25,300,1418.79,4
12429.0,8,97,352.18,0
12430.0,42,11,68.48,0
12431.0,35,240,902.0,0
12432.0,42,108,1139.49,0
12433.0,0,420,920.95,4
12434.0,84,54,198.13,0
12435.0,79,36,197.25,0
12436.0,99,16,84.28,0
12437.0,1,201,809.45,0
12438.0,13,98,381.7,0
12441.0,366,11,40.71,1
12442.0,2,12,40.08,0
12444.0,20,177,1119.1299999999999,0
12445.0,21,4,31.95,0
12446.0,57,58,248.1,0
12447.0,242,26,92.93,1
12448.0,43,22,130.94,0
12449.0,21,191,705.69,0
12450.0,155,8,12.94,1
12451.0,10,355,868.18,4
12452.0,16,23,99.67,0
12453.0,133,43,102.91,0
12454.0,52,30,218.46,0
12455.0,72,90,285.6,0
12456.0,43,129,461.37,0
12457.0,57,68,352.37,0
12458.0,70,38,164.4,0
12461.0,93,35,149.06,0
12462.0,1,72,332.42,0
12463.0,45,88,269.91,0
12464.0,9,29,343.15,0
12465.0,7,51,138.02,0
12468.0,142,40,139.07,0
12471.0,1,531,2266.87,4
12472.0,30,391,970.12,4
12473.0,28,179,2437.84,4
12474.0,16,457,1331.7,4
12475.0,53,36,105.88,0
12476.0,0,264,1306.93,4
